No,旧駅名,新駅名,停車駅,X,Y,Z,会社名,路線名
1,東京,東京,停車駅,139.7672681,35.6812231,100,東日本旅客鉄道,東海道線
2,横浜,横浜,停車駅,139.6222534,35.46584469,100,東日本旅客鉄道,東海道線
3,静岡,静岡,停車駅,138.3889208,34.97178429,100,東海旅客鉄道,東海道線
4,名古屋,名古屋,停車駅,136.8817336,35.17125684,100,東海旅客鉄道,東海道線
5,岐阜,岐阜,停車駅,136.7565252,35.409537,100,東海旅客鉄道,東海道線
6,京都,京都,停車駅,135.7585239,34.98568067,100,西日本旅客鉄道,東海道線
7,大阪,大阪,停車駅,135.495055,34.70239,100,西日本旅客鉄道,東海道線
8,三宮,三ノ宮,停車駅,135.19504,34.694795,100,西日本旅客鉄道,東海道線
9,糸崎,糸崎,停車駅,133.1051047,34.39174426,100,西日本旅客鉄道,山陽線
10,広島,広島,停車駅,132.47569,34.397225,100,西日本旅客鉄道,山陽線
11,岩国,岩国,停車駅,132.22561,34.17178,100,西日本旅客鉄道,山陽線
12,小郡,新山口,停車駅,131.3962549,34.09402172,100,西日本旅客鉄道,山陽線
13,厚狭,厚狭,停車駅,131.160245,34.05371,100,西日本旅客鉄道,山陽線
14,下関,下関,停車駅,130.9216956,33.94928961,100,九州旅客鉄道,山陽線
15,門司,門司,停車駅,130.9324144,33.90435558,100,九州旅客鉄道,鹿児島線
16,博多,博多,停車駅,130.42056,33.589995,100,九州旅客鉄道,鹿児島線
17,鳥栖,鳥栖,停車駅,130.5198755,33.37426487,100,九州旅客鉄道,鹿児島線
18,久留米,久留米,停車駅,130.501372,33.3207285,100,九州旅客鉄道,鹿児島線
19,大牟田,大牟田,停車駅,130.443845,33.02939,100,九州旅客鉄道,鹿児島線
20,熊本,熊本,停車駅,130.6886567,32.78930884,100,九州旅客鉄道,鹿児島線
21,八代,八代,停車駅,130.6211838,32.50441294,100,九州旅客鉄道,鹿児島線
22,水俣,水俣,停車駅,130.396165,32.20493,100,肥薩おれんじ鉄道,肥薩おれんじ鉄道線
23,出水,出水,停車駅,130.35797,32.08932,100,肥薩おれんじ鉄道,肥薩おれんじ鉄道線
24,阿久根,阿久根,停車駅,130.196395,32.02307,100,肥薩おれんじ鉄道,肥薩おれんじ鉄道線
25,川内,川内,停車駅,130.3122,31.81363,100,九州旅客鉄道,鹿児島線
26,西鹿児島,鹿児島中央,停車駅,130.5420075,31.58399547,100,九州旅客鉄道,鹿児島線
