X,Y,Z,fid,N02_001,N02_002,N02_003,N02_004,種別,延長,夜行ルート,はやぶさ,さくら,富士,MidnightExp,vertex_index,vertex_part,vertex_part_index,distance,angle
135.940905031946,33.6268109025494,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,0,0,0,0.00000000000000,24.77514057056609
135.94096,33.62693,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,1,0,1,0.00013117046056,29.37584230406640
135.94127,33.62739,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,2,0,2,0.00068587759050,26.63329512760702
135.94141,33.62779,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,3,0,3,0.00110966999251,13.71007428712298
135.94145,33.62807,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,4,0,4,0.00139251270499,5.97208859470142
135.94149,33.62867,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,5,0,5,0.00199384456012,1.59900746298143
135.94148,33.6296,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,6,0,6,0.00292389832201,359.04099371007976
135.94147,33.63004,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,7,0,7,0.00336401194370,359.34902366350036
135.94147,33.63007,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,8,0,8,0.00339401194370,352.10962334444946
135.94134,33.63053,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,9,0,9,0.00387202867981,337.32070400313273
135.94113,33.6309,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,10,0,10,0.00429746962754,331.92855507273504
135.94102,33.63112,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,11,0,11,0.00454343710506,325.03576293512572
135.94085,33.6313,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,12,0,12,0.00479102547312,312.74497569121257
135.93941,33.63246,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,13,0,13,0.00664013336613,308.79391751681186
135.93754,33.63396,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,14,0,14,0.00903740264596,308.87475418899118
135.93617,33.63507,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,15,0,15,0.01080063830803,312.00752384231794
135.93571,33.63553,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,16,0,16,0.01145117654673,315.79557013571110
135.93501,33.63627,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,17,0,17,0.01246980307298,318.96566600807023
135.93461,33.63677,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,18,0,18,0.01311011549673,321.93200609254745
135.93438,33.63707,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,19,0,19,0.01348813666016,328.35141423374580
135.93423,33.63738,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,20,0,20,0.01383252016731,338.53813952639069
135.93419,33.63751,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,21,0,21,0.01396853487240,343.19645482226366
135.93411,33.63778,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,22,0,22,0.01425013742920,347.58499414488102
135.93405,33.63819,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,23,0,23,0.01466450441630,355.83717483545053
135.93405,33.63869,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,24,0,24,0.01516450441630,4.86378927489368
135.93411,33.63904,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,25,0,25,0.01551961003439,15.14181188538252
135.93423,33.63936,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,26,0,26,0.01586137018421,23.65207469145923
135.93486,33.64061,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,27,0,27,0.01726115588208,26.91388712539273
135.93554,33.64194,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,28,0,28,0.01875490954317,26.65081843338934
135.9362,33.64328,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,29,0,29,0.02024862973116,26.69611627579529
135.93678,33.64441,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,30,0,30,0.02151878720171,28.45757353518553
135.93722,33.64518,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,31,0,31,0.02240563555402,31.32506211084414
135.93744,33.64552,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,32,0,32,0.02281060468865,34.10822818178579
135.93761,33.64576,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,33,0,33,0.02310471351205,38.53575657108891
135.93786,33.64604,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,34,0,34,0.02348007999963,48.29693183386548
135.9383,33.64635,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,35,0,35,0.02401831786526,57.18400952216238
135.93864,33.64655,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,36,0,36,0.02441277952372,60.23992549059634
135.939,33.64675,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,37,0,37,0.02482460472936,65.88319393777570
135.93923,33.64683,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,38,0,38,0.02506812064261,76.43876008206824
135.93966,33.64689,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,39,0,39,0.02550228650953,83.07519353774910
135.93995,33.64692,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,40,0,40,0.02579383410428,87.68344445317642
135.9404,33.64691,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,41,0,41,0.02624394520167,93.80661088306015
135.94076,33.64687,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,42,0,42,0.02660616060720,97.45466681286545
135.94149,33.64676,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,43,0,43,0.02734440176019,96.66639178558486
135.94185,33.64673,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,44,0,44,0.02770564959755,90.89495530439925
135.94262,33.64677,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,45,0,45,0.02847668785862,80.88557510622400
135.94284,33.64683,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,46,0,46,0.02870472294362,76.24005378364930
135.94307,33.64688,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,47,0,47,0.02894009498956,73.06995791160710
135.94355,33.64707,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,48,0,48,0.02945633136951,67.60304951942123
135.9439,33.64722,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,49,0,49,0.02983712002482,62.68592193634894
135.94426,33.64744,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,50,0,50,0.03025902048702,54.26294166216246
135.9452,33.64823,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,51,0,51,0.03148690484638,52.72346297613970
135.94568,33.64856,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,52,0,52,0.03206939948156,59.70293861700444
135.94664,33.64903,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,53,0,53,0.03313827739788,63.67467452234740
135.948,33.64971,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,54,0,54,0.03465880362258,66.43945180141722
135.94848,33.64989,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,55,0,55,0.03517144384728,72.94800789591164
135.94931,33.65009,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,56,0,56,0.03602520025283,78.73971719870030
135.94988,33.65018,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,57,0,57,0.03660226177469,83.47087830255506
135.95058,33.65023,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,58,0,58,0.03730404521707,86.12329758208423
135.95136,33.65028,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,59,0,59,0.03808564613824,88.16610597215433
135.95196,33.65028,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,60,0,60,0.03868564613826,90.80676946641233
135.95267,33.65026,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,61,0,61,0.03939592777254,90.80676946641238
135.95288,33.65026,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,62,0,62,0.03960592777253,91.30128110158566
135.9531,33.65025,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,63,0,63,0.03982615492799,91.30128110158566
135.95408,33.65025,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,64,0,64,0.04080615492799,82.37244064826234
135.95474,33.65043,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,65,0,65,0.04149026018304,70.15046325884414
135.95507,33.65058,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,66,0,66,0.04185275156226,63.25072056065916
135.95534,33.65073,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,67,0,67,0.04216162046649,57.16203420287386
135.95608,33.65128,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,68,0,68,0.04308362914322,46.98998357572980
135.95668,33.65198,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,69,0,69,0.04400558358897,39.54074644707611
135.9573,33.65276,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,70,0,70,0.04500197708553,39.83306170675198
135.95807,33.65364,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,71,0,71,0.04617129312493,45.24519706351844
135.95857,33.65407,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,72,0,72,0.04683076260869,53.88483852822346
135.95901,33.65434,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,73,0,73,0.04734699898865,63.33189930331938
135.95931,33.65446,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,74,0,74,0.04767010887706,72.96690839233456
135.95977,33.65456,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,75,0,75,0.04814085296890,78.86362323513056
135.96011,33.65462,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,76,0,76,0.04848610649893,83.29615301931710
135.96213,33.65474,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,77,0,77,0.05050966771621,85.99481826110141
135.96275,33.65479,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,78,0,78,0.05113168057781,79.34505322383772
135.96305,33.65488,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,79,0,79,0.05144488977308,71.00717532618714
135.96382,33.65518,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,80,0,80,0.05227126741072,66.07427185467678
135.9644,33.65547,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,81,0,81,0.05291972712421,61.41427089600196
135.96511,33.65589,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,82,0,82,0.05374465136315,54.57861732800892
135.96524,33.656,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,83,0,83,0.05391494522680,51.17914252795552
135.96541,33.65613,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,84,0,84,0.05412895457238,48.79732168513210
135.96552,33.65624,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,85,0,85,0.05428451806425,45.30154559842222
135.966,33.65671,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,86,0,86,0.05495630672150,41.88015888822771
135.96611,33.65685,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,87,0,87,0.05513435165964,38.01610512066410
135.96618,33.65694,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,88,0,88,0.05524836920216,33.94667554358719
135.96644,33.65739,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,89,0,89,0.05576808066057,22.30981985621947
135.96675,33.65858,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,90,0,90,0.05699779607479,8.89055120299881
135.96676,33.65876,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,91,0,91,0.05717807363857,2.83469152181683
135.96677,33.65899,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,92,0,92,0.05740829092724,5.30982764009007
135.96678,33.65906,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,93,0,93,0.05747900160535,9.28378885381560
135.96685,33.65944,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,94,0,94,0.05786539518707,14.70394157981466
135.96696,33.65976,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,95,0,95,0.05820377367339,23.16014179403391
135.96711,33.66005,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,96,0,96,0.05853027022773,30.51997165336218
135.96723,33.66023,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,97,0,97,0.05874660330427,33.29765522597456
135.96734,33.6604,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,98,0,98,0.05894908787159,38.95262146229173
135.96763,33.66069,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,99,0,99,0.05935920980468,49.06505117702184
135.96795,33.66093,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,100,0,100,0.05975920980467,55.56235957262914
135.96811,33.66103,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,101,0,101,0.05994788942730,58.28252558780712
135.96829,33.66114,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,102,0,102,0.06015883965840,58.04962104834042
135.9684,33.66121,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,103,0,103,0.06028922370651,61.78315936924444
135.96885,33.66141,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,104,0,104,0.06078166659660,68.80128110129188
135.96888,33.66142,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,105,0,105,0.06081328937321,74.03465894823348
135.96913,33.66148,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,106,0,106,0.06107038857585,80.69347593444726
135.9698,33.66154,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,107,0,107,0.06174306977819,83.00101299968672
135.97044,33.66164,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,108,0,108,0.06239083516782,79.18090434433707
135.97097,33.66176,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,109,0,109,0.06293425029459,72.93592278539890
135.9712,33.66185,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,110,0,110,0.06318123207531,65.43541856612812
135.97139,33.66195,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,111,0,111,0.06339594118084,57.99381083107166
135.97199,33.66239,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,112,0,112,0.06413998419035,52.93558930593828
135.97217,33.66253,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,113,0,113,0.06436801927537,46.18068732840750
135.97239,33.66279,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,114,0,114,0.06470860700268,33.40070474268776
135.97261,33.66323,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,115,0,115,0.06520054195773,22.50000000035853
135.97277,33.66371,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,116,0,116,0.06570650638336,12.17054496889855
135.9728,33.664,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,117,0,117,0.06599805397810,2.45052755502927
135.97279,33.66457,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,118,0,118,0.06656814169065,1.87927784327507
135.97281,33.66481,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,119,0,119,0.06680897358223,8.03678708200751
135.97292,33.66536,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,120,0,120,0.06736986572872,10.82930828016515
135.97313,33.66651,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,121,0,121,0.06853888240953,7.47966670428952
135.97318,33.66713,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,122,0,122,0.06916089527113,1.06054819868321
135.97317,33.66736,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,123,0,123,0.06939111255980,350.78252558546649
135.97313,33.6675,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,124,0,124,0.06953671475758,344.05460409766891
135.97307,33.66771,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,125,0,125,0.06975511805426,336.89908346752486
135.97293,33.66795,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,126,0,126,0.07003296693405,326.74486255116057
135.97282,33.6681,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,127,0,127,0.07021897768642,321.34567424890099
135.97228,33.66872,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,128,0,128,0.07104116987806,318.20761876225072
135.97106,33.67005,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,129,0,129,0.07284596903588,313.23052266915738
135.97001,33.6709,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,130,0,130,0.07419689464448,323.40035257286280
135.9697,33.67166,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,131,0,131,0.07501768694465,338.51872821236992
135.96959,33.67195,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,132,0,132,0.07532784819303,340.31833879739003
135.96922,33.67305,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,133,0,133,0.07648840840258,340.98444872214105
135.96892,33.6739,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,134,0,134,0.07738979622145,340.67364667744346
135.96869,33.67456,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,135,0,135,0.07808872397164,342.83166043744131
135.96849,33.6753,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,136,0,136,0.07885527468751,352.43799634560912
135.96849,33.67553,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,137,0,137,0.07908527468752,358.45297097003737
135.96847,33.6759,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,138,0,138,0.07945581483379,3.05848423969232
135.96853,33.67627,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,139,0,139,0.07983064813007,13.03471265383225
135.96863,33.6766,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,140,0,140,0.08017546692306,19.11451051893231
135.96881,33.67706,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,141,0,141,0.08066943048447,21.65966067654191
135.96908,33.67773,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,142,0,142,0.08139178773680,21.62302656694340
135.96931,33.67832,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,143,0,143,0.08202503334477,25.52111766861699
135.96935,33.67839,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,144,0,144,0.08210565592224,26.98631330247993
135.96944,33.67859,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,145,0,145,0.08232497304424,28.95890642122640
135.96952,33.67871,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,146,0,146,0.08246919509526,35.58312354405573
135.96975,33.67901,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,147,0,147,0.08284721625869,38.74121778914651
135.97022,33.67957,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,148,0,148,0.08357831132775,41.68483948622375
135.97073,33.68011,0,7,"12","5",いわて銀河鉄道線,アイジーアールいわて銀河鉄道,,13255,true,,,,true,149,0,149,0.08432107643194,41.98235880126856
