X,Y,Z,fid,路線名,会社名,新駅名,旧駅名
130.9216956,33.94928961,100,1428,山陽線,九州旅客鉄道,下関,下関
130.9324144,33.90435558,100,1480,鹿児島線,九州旅客鉄道,門司,門司
130.501372,33.3207285,100,1486,鹿児島線,九州旅客鉄道,久留米,久留米
130.42056,33.589995,100,1505,鹿児島線,九州旅客鉄道,博多,博多
130.5198755,33.37426487,100,1518,鹿児島線,九州旅客鉄道,鳥栖,鳥栖
130.6886567,32.78930884,100,1532,鹿児島線,九州旅客鉄道,熊本,熊本
130.443845,33.02939,100,1542,鹿児島線,九州旅客鉄道,大牟田,大牟田
130.6211838,32.50441294,100,1543,鹿児島線,九州旅客鉄道,八代,八代
130.3122,31.81363,100,1544,鹿児島線,九州旅客鉄道,川内,川内
130.5420075,31.58399547,100,1545,鹿児島線,九州旅客鉄道,鹿児島中央,西鹿児島
133.1051047,34.39174426,100,4117,山陽線,西日本旅客鉄道,糸崎,糸崎
132.47569,34.397225,100,4135,山陽線,西日本旅客鉄道,広島,広島
132.22561,34.17178,100,4158,山陽線,西日本旅客鉄道,岩国,岩国
131.3962549,34.09402172,100,4167,山陽線,西日本旅客鉄道,新山口,小郡
131.160245,34.05371,100,4168,山陽線,西日本旅客鉄道,厚狭,厚狭
135.7585239,34.98568067,100,4349,東海道線,西日本旅客鉄道,京都,京都
135.495055,34.70239,100,4362,東海道線,西日本旅客鉄道,大阪,大阪
138.3889208,34.97178429,100,5785,東海道線,東海旅客鉄道,静岡,静岡
136.7565252,35.409537,100,5804,東海道線,東海旅客鉄道,岐阜,岐阜
136.8817336,35.17125684,100,5809,東海道線,東海旅客鉄道,名古屋,名古屋
139.7672681,35.6812231,100,7641,東海道線,東日本旅客鉄道,東京,東京
139.6222534,35.46584469,100,7655,東海道線,東日本旅客鉄道,横浜,横浜
130.35797,32.08932,100,8624,肥薩おれんじ鉄道線,肥薩おれんじ鉄道,出水,出水
130.396165,32.20493,100,8626,肥薩おれんじ鉄道線,肥薩おれんじ鉄道,水俣,水俣
130.196395,32.02307,100,8627,肥薩おれんじ鉄道線,肥薩おれんじ鉄道,阿久根,阿久根
135.19504,34.694795,100,10269,東海道線,西日本旅客鉄道,三ノ宮,三宮
131.2220407,34.00330232,100,10270,山陽線,西日本旅客鉄道,宇部,宇部
131.6725153,32.58995798,100,10271,日豊線,九州旅客鉄道,延岡,延岡
133.91833,34.66696,100,10272,山陽線,西日本旅客鉄道,岡山,岡山
131.432005,31.915815,100,10273,日豊線,九州旅客鉄道,宮崎,宮崎
130.29737,33.264125,100,10274,長崎線,九州旅客鉄道,佐賀,佐賀
129.7265233,33.16380267,100,10275,佐世保線,九州旅客鉄道,佐世保,佐世保
131.901815,32.972645,100,10276,日豊線,九州旅客鉄道,佐伯,佐伯
130.5642748,31.60220716,100,10277,日豊線,九州旅客鉄道,鹿児島,鹿児島
130.8828961,33.88658229,100,10278,日豊線,九州旅客鉄道,小倉,小倉
138.8605554,35.10304017,100,10279,東海道線,東海旅客鉄道,沼津,沼津
129.7993305,33.13412539,100,10280,佐世保線,九州旅客鉄道,早岐,早岐
131.606695,33.2326,100,10281,日豊線,九州旅客鉄道,大分,大分
131.190925,33.599195,100,10282,日豊線,九州旅客鉄道,中津,中津
129.869475,32.75465,100,10283,長崎線,九州旅客鉄道,長崎,長崎
131.07401,31.7366,100,10284,日豊線,九州旅客鉄道,都城,都城
131.8024677,34.05136477,100,10285,山陽線,西日本旅客鉄道,徳山,徳山
131.62783,32.42592,100,10286,日豊線,九州旅客鉄道,日向市,日向市
139.0779433,35.1038854,100,10287,東海道線,東日本旅客鉄道,熱海,熱海
130.74021,31.743765,100,10288,日豊線,九州旅客鉄道,隼人,隼人
130.16111,33.21911,100,10289,長崎線,九州旅客鉄道,肥前山口,肥前山口
137.735022,34.70402184,100,10290,東海道線,東海旅客鉄道,浜松,浜松
133.3613472,34.48926377,100,10291,山陽線,西日本旅客鉄道,福山,福山
131.500255,33.27947,100,10292,日豊線,九州旅客鉄道,別府,別府
137.3825412,34.76227577,100,10293,東海道線,東海旅客鉄道,豊橋,豊橋
131.569015,34.053215,100,10294,山陽線,西日本旅客鉄道,防府,防府
130.8369733,31.81822276,100,10295,日豊線,九州旅客鉄道,霧島神宮,霧島神宮
132.10616,33.965725,100,10296,山陽線,西日本旅客鉄道,柳井,柳井
130.041505,32.851235,100,10297,長崎線,九州旅客鉄道,諫早,諫早
131.2220407,34.00330232,100,10298,山陽線,西日本旅客鉄道,宇部,宇部
