駅名,時刻
東京,1978/10/2 17:33
東京,1978/10/2 18:00
横浜,1978/10/2 18:27
熱海,1978/10/2 19:30
熱海,1978/10/2 19:32
浜松,1978/10/2 21:25
浜松,1978/10/2 21:27
名古屋,1978/10/2 22:49
名古屋,1978/10/2 22:54
福山,1978/10/3 4:27
広島,1978/10/3 5:57
広島,1978/10/3 6:01
柳井,1978/10/3 7:02
防府,1978/10/3 7:55
宇部,1978/10/3 8:30
宇部,1978/10/3 8:31
下関,1978/10/3 9:09
下関,1978/10/3 9:13
門司,1978/10/3 9:21
門司,1978/10/3 9:26
小倉,1978/10/3 9:33
小倉,1978/10/3 9:35
中津,1978/10/3 10:22
別府,1978/10/3 11:27
別府,1978/10/3 11:28
大分,1978/10/3 11:42
大分,1978/10/3 11:50
佐伯,1978/10/3 13:00
佐伯,1978/10/3 13:02
延岡,1978/10/3 14:16
延岡,1978/10/3 14:19
日向市,1978/10/3 14:40
宮崎,1978/10/3 15:41
宮崎,1978/10/3 15:45
都城,1978/10/3 16:36
都城,1978/10/3 16:37
霧島神宮,1978/10/3 17:10
隼人,1978/10/3 17:26
隼人,1978/10/3 17:27
鹿児島,1978/10/3 17:56
鹿児島,1978/10/3 17:58
西鹿児島,1978/10/3 18:03
