駅名,時刻
東京,1978/10/2 16:27
東京,1978/10/2 16:45
横浜,1978/10/2 17:11
静岡,1978/10/2 19:13
静岡,1978/10/2 19:15
名古屋,1978/10/2 21:35
名古屋,1978/10/2 21:40
岐阜,1978/10/2 22:02
岐阜,1978/10/2 22:03
京都,1978/10/2 23:34
京都,1978/10/2 23:35
大阪,1978/10/3 0:08
大阪,1978/10/3 0:12
三宮,1978/10/3 0:36
糸崎,1978/10/3 3:35
広島,1978/10/3 4:41
広島,1978/10/3 4:45
岩国,1978/10/3 5:19
岩国,1978/10/3 5:20
小郡,1978/10/3 6:51
小郡,1978/10/3 6:52
厚狭,1978/10/3 7:22
厚狭,1978/10/3 7:23
下関,1978/10/3 7:54
下関,1978/10/3 7:58
門司,1978/10/3 8:06
門司,1978/10/3 8:11
博多,1978/10/3 9:10
博多,1978/10/3 9:12
鳥栖,1978/10/3 9:37
鳥栖,1978/10/3 9:39
久留米,1978/10/3 9:47
久留米,1978/10/3 9:48
大牟田,1978/10/3 10:16
大牟田,1978/10/3 10:17
熊本,1978/10/3 10:58
熊本,1978/10/3 11:03
八代,1978/10/3 11:33
八代,1978/10/3 11:34
水俣,1978/10/3 12:26
水俣,1978/10/3 12:28
出水,1978/10/3 12:45
出水,1978/10/3 12:52
阿久根,1978/10/3 13:16
川内,1978/10/3 13:53
川内,1978/10/3 13:56
西鹿児島,1978/10/3 14:42
