駅名,時刻
東京,1978/10/2 18:46
東京,1978/10/2 19:00
横浜,1978/10/2 19:28
静岡,1978/10/2 21:29
静岡,1978/10/2 21:31
名古屋,1978/10/2 23:49
名古屋,1978/10/2 23:55
岡山,1978/10/3 4:40
岡山,1978/10/3 4:44
倉敷,1978/10/3 4:58
倉敷,1978/10/3 4:58
福山,1978/10/3 5:31
福山,1978/10/3 5:32
尾道,1978/10/3 5:49
三原,1978/10/3 6:00
三原,1978/10/3 6:01
広島,1978/10/3 7:08
広島,1978/10/3 7:13
岩国,1978/10/3 7:49
岩国,1978/10/3 7:50
柳井,1978/10/3 8:18
徳山,1978/10/3 8:47
徳山,1978/10/3 8:48
防府,1978/10/3 9:12
小郡,1978/10/3 9:27
小郡,1978/10/3 9:28
宇部,1978/10/3 9:49
宇部,1978/10/3 9:50
下関,1978/10/3 10:27
