駅名,時刻
博多,1978/10/2 17:28
小倉,1978/10/2 18:27
小倉,1978/10/2 18:28
門司,1978/10/2 18:35
門司,1978/10/2 18:39
下関,1978/10/2 18:48
下関,1978/10/2 18:54
小郡,1978/10/2 19:51
小郡,1978/10/2 19:52
徳山,1978/10/2 20:30
徳山,1978/10/2 20:31
広島,1978/10/2 22:00
広島,1978/10/2 22:05
三原,1978/10/2 23:11
三原,1978/10/2 23:12
福山,1978/10/2 23:37
福山,1978/10/2 23:38
岡山,1978/10/3 0:22
岡山,1978/10/3 0:26
名古屋,1978/10/3 5:04
名古屋,1978/10/3 5:09
静岡,1978/10/3 7:28
静岡,1978/10/3 7:30
熱海,1978/10/3 8:32
熱海,1978/10/3 8:33
横浜,1978/10/3 9:36
東京,1978/10/3 10:00
