駅名,時刻
西鹿児島,1978/10/2 12:36
川内,1978/10/2 13:21
川内,1978/10/2 13:22
阿久根,1978/10/2 13:53
出水,1978/10/2 14:14
出水,1978/10/2 14:18
水俣,1978/10/2 14:36
八代,1978/10/2 15:24
八代,1978/10/2 15:26
熊本,1978/10/2 16:01
熊本,1978/10/2 16:14
大牟田,1978/10/2 16:57
大牟田,1978/10/2 16:58
久留米,1978/10/2 17:26
久留米,1978/10/2 17:27
鳥栖,1978/10/2 17:35
鳥栖,1978/10/2 17:37
博多,1978/10/2 18:01
博多,1978/10/2 18:03
門司,1978/10/2 19:03
門司,1978/10/2 19:08
下関,1978/10/2 19:17
下関,1978/10/2 19:21
厚狭,1978/10/2 19:49
厚狭,1978/10/2 19:49
小郡,1978/10/2 20:19
小郡,1978/10/2 20:20
岩国,1978/10/2 21:51
岩国,1978/10/2 21:52
広島,1978/10/2 22:27
広島,1978/10/2 22:32
糸崎,1978/10/2 23:42
岐阜,1978/10/3 5:08
岐阜,1978/10/3 5:08
名古屋,1978/10/3 5:32
名古屋,1978/10/3 5:37
静岡,1978/10/3 8:00
静岡,1978/10/3 8:02
横浜,1978/10/3 10:05
東京,1978/10/3 10:30
