駅名,時刻
東京,1978/10/2 17:51
東京,1978/10/2 18:20
横浜,1978/10/2 18:44
熱海,1978/10/2 19:48
熱海,1978/10/2 19:49
沼津,1978/10/2 20:07
沼津,1978/10/2 20:09
浜松,1978/10/2 21:47
浜松,1978/10/2 21:49
名古屋,1978/10/2 23:11
名古屋,1978/10/2 23:16
福知山,1978/10/3 2:49
福知山,1978/10/3 2:54
豊岡,1978/10/3 3:54
豊岡,1978/10/3 3:57
城崎,1978/10/3 4:07
城崎,1978/10/3 4:08
浜坂,1978/10/3 4:52
浜坂,1978/10/3 4:54
鳥取,1978/10/3 5:30
鳥取,1978/10/3 5:32
倉吉,1978/10/3 6:12
倉吉,1978/10/3 6:13
米子,1978/10/3 7:03
米子,1978/10/3 7:09
松江,1978/10/3 7:40
松江,1978/10/3 7:42
玉造温泉,1978/10/3 7:50
出雲市,1978/10/3 8:16
出雲市,1978/10/3 8:21
大田市,1978/10/3 8:54
大田市,1978/10/3 8:55
江津,1978/10/3 9:33
江津,1978/10/3 9:34
浜田,1978/10/3 9:54
