駅名,時刻
浜田,1978/10/2 15:07
江津,1978/10/2 15:27
江津,1978/10/2 15:29
大田市,1978/10/2 16:13
大田市,1978/10/2 16:14
出雲市,1978/10/2 16:49
出雲市,1978/10/2 17:01
玉造温泉,1978/10/2 17:28
松江,1978/10/2 17:36
松江,1978/10/2 17:37
米子,1978/10/2 18:07
米子,1978/10/2 18:13
倉吉,1978/10/2 19:05
倉吉,1978/10/2 19:07
鳥取,1978/10/2 19:46
鳥取,1978/10/2 19:50
浜坂,1978/10/2 20:26
浜坂,1978/10/2 20:27
城崎,1978/10/2 21:12
城崎,1978/10/2 21:13
豊岡,1978/10/2 21:23
豊岡,1978/10/2 21:26
福知山,1978/10/2 22:27
福知山,1978/10/2 22:30
綾部,1978/10/2 22:43
綾部,1978/10/2 22:43
京都,1978/10/3 0:09
京都,1978/10/3 0:15
沼津,1978/10/3 5:10
沼津,1978/10/3 5:12
熱海,1978/10/3 5:29
熱海,1978/10/3 5:30
横浜,1978/10/3 6:33
東京,1978/10/3 7:00
