駅名,時刻
東京,1978/10/2 16:33
東京,1978/10/2 17:00
横浜,1978/10/2 17:27
静岡,1978/10/2 19:28
静岡,1978/10/2 19:30
名古屋,1978/10/2 21:49
名古屋,1978/10/2 21:54
岐阜,1978/10/2 22:17
岐阜,1978/10/2 22:18
京都,1978/10/2 23:51
京都,1978/10/2 23:52
大阪,1978/10/3 0:25
大阪,1978/10/3 0:29
広島,1978/10/3 4:57
広島,1978/10/3 5:01
岩国,1978/10/3 5:36
岩国,1978/10/3 5:36
徳山,1978/10/3 6:31
徳山,1978/10/3 6:31
宇部,1978/10/3 7:34
宇部,1978/10/3 7:35
下関,1978/10/3 8:13
下関,1978/10/3 8:17
門司,1978/10/3 8:25
門司,1978/10/3 8:30
博多,1978/10/3 9:30
博多,1978/10/3 9:33
鳥栖,1978/10/3 9:58
