駅名,時刻
新大阪,1980/4/1 18:40
大阪,1980/4/1 18:47
大阪,1980/4/1 18:50
三宮,1980/4/1 19:17
姫路,1980/4/1 20:10
姫路,1980/4/1 20:12
岡山,1980/4/1 21:20
岡山,1980/4/1 21:24
福山,1980/4/1 22:09
福山,1980/4/1 22:09
尾道,1980/4/1 22:26
三原,1980/4/1 22:42
三原,1980/4/1 22:43
広島,1980/4/1 23:50
広島,1980/4/1 23:55
岩国,1980/4/2 00:30
岩国,1980/4/2 00:31
博多,1980/4/2 04:28
博多,1980/4/2 04:30
鳥栖,1980/4/2 04:55
鳥栖,1980/4/2 04:57
久留米,1980/4/2 05:05
久留米,1980/4/2 05:06
大牟田,1980/4/2 05:33
大牟田,1980/4/2 05:34
熊本,1980/4/2 06:15
熊本,1980/4/2 06:20
八代,1980/4/2 06:50
八代,1980/4/2 06:51
水俣,1980/4/2 07:40
水俣,1980/4/2 07:43
出水,1980/4/2 08:00
出水,1980/4/2 08:04
阿久根,1980/4/2 08:25
川内,1980/4/2 08:55
川内,1980/4/2 08:55
串木野,1980/4/2 09:08
伊集院,1980/4/2 09:26
西鹿児島,1980/4/2 09:45
