駅名,時刻
京都,1980/4/1 20:06
京都,1980/4/1 20:06
新大阪,1980/4/1 20:40
新大阪,1980/4/1 20:43
大阪,1980/4/1 20:49
大阪,1980/4/1 20:56
三宮,1980/4/1 21:22
姫路,1980/4/1 22:14
姫路,1980/4/1 22:17
岡山,1980/4/1 23:23
岡山,1980/4/1 23:25
倉敷,1980/4/1 23:37
倉敷,1980/4/1 23:38
福山,1980/4/2 00:09
福山,1980/4/2 00:10
尾道,1980/4/2 00:28
下関,1980/4/2 05:08
下関,1980/4/2 05:11
門司,1980/4/2 05:18
門司,1980/4/2 05:18
門司,1980/4/2 05:19
小倉,1980/4/2 05:25
小倉,1980/4/2 05:26
博多,1980/4/2 06:23
博多,1980/4/2 06:30
久留米,1980/4/2 07:07
久留米,1980/4/2 07:08
大牟田,1980/4/2 07:33
大牟田,1980/4/2 07:34
熊本,1980/4/2 08:11
熊本,1980/4/2 08:23
八代,1980/4/2 08:51
八代,1980/4/2 08:57
水俣,1980/4/2 09:43
水俣,1980/4/2 09:43
出水,1980/4/2 10:00
出水,1980/4/2 10:02
川内,1980/4/2 10:56
川内,1980/4/2 10:57
串木野,1980/4/2 11:12
伊集院,1980/4/2 11:28
西鹿児島,1980/4/2 11:44
