駅名,時刻
東京,1978/10/2 15:54
東京,1978/10/2 16:30
横浜,1978/10/2 16:58
沼津,1978/10/2 18:19
静岡,1978/10/2 19:01
静岡,1978/10/2 19:03
豊橋,1978/10/2 20:27
豊橋,1978/10/2 20:28
名古屋,1978/10/2 21:21
名古屋,1978/10/2 21:26
京都,1978/10/2 23:18
京都,1978/10/2 23:21
大阪,1978/10/2 23:53
大阪,1978/10/2 23:57
広島,1978/10/3 4:26
広島,1978/10/3 4:31
徳山,1978/10/3 5:58
徳山,1978/10/3 5:59
小郡,1978/10/3 6:36
小郡,1978/10/3 6:37
宇部,1978/10/3 6:59
宇部,1978/10/3 7:00
下関,1978/10/3 7:40
下関,1978/10/3 7:44
門司,1978/10/3 7:52
門司,1978/10/3 7:57
博多,1978/10/3 8:59
博多,1978/10/3 9:02
鳥栖,1978/10/3 9:29
鳥栖,1978/10/3 9:31
佐賀,1978/10/3 9:53
佐賀,1978/10/3 9:54
肥前山口,1978/10/3 10:08
肥前山口,1978/10/3 10:12
