駅名,時刻
肥前山口,1978/10/2 17:36
肥前山口,1978/10/2 17:53
佐賀,1978/10/2 18:06
佐賀,1978/10/2 18:07
鳥栖,1978/10/2 18:29
鳥栖,1978/10/2 18:31
博多,1978/10/2 18:56
博多,1978/10/2 19:00
門司,1978/10/2 20:01
門司,1978/10/2 20:06
下関,1978/10/2 20:15
下関,1978/10/2 20:19
宇部,1978/10/2 20:55
宇部,1978/10/2 20:56
小郡,1978/10/2 21:18
小郡,1978/10/2 21:19
徳山,1978/10/2 21:56
徳山,1978/10/2 21:57
広島,1978/10/2 23:29
広島,1978/10/2 23:33
大阪,1978/10/3 3:59
大阪,1978/10/3 4:03
京都,1978/10/3 4:30
京都,1978/10/3 4:37
名古屋,1978/10/3 6:30
名古屋,1978/10/3 6:35
豊橋,1978/10/3 7:27
豊橋,1978/10/3 7:28
静岡,1978/10/3 8:57
静岡,1978/10/3 8:59
沼津,1978/10/3 9:40
横浜,1978/10/3 11:05
東京,1978/10/3 11:30
