駅名,時刻
新大阪,1980/4/1 19:31
大阪,1980/4/1 19:37
大阪,1980/4/1 19:40
神戸,1980/4/1 20:08
姫路,1980/4/1 20:57
姫路,1980/4/1 20:59
岡山,1980/4/1 22:06
岡山,1980/4/1 22:10
福山,1980/4/1 22:55
福山,1980/4/1 22:56
尾道,1980/4/1 23:12
広島,1980/4/2 00:33
広島,1980/4/2 00:39
門司,1980/4/2 04:07
門司,1980/4/2 04:15
中津,1980/4/2 05:08
別府,1980/4/2 06:15
別府,1980/4/2 06:16
大分,1980/4/2 06:30
大分,1980/4/2 06:41
津久見,1980/4/2 07:29
佐伯,1980/4/2 07:50
佐伯,1980/4/2 07:51
延岡,1980/4/2 08:58
延岡,1980/4/2 09:00
日向市,1980/4/2 09:29
高鍋,1980/4/2 10:09
宮崎,1980/4/2 10:35
宮崎,1980/4/2 10:38
都城,1980/4/2 11:36
