駅名,時刻
東京,1978/10/2 16:33
東京,1978/10/2 17:00
横浜,1978/10/2 17:27
小田原,1978/10/2 17:27
小田原,1978/10/2 17:27
熱海,1978/10/2 19:28
熱海,1978/10/2 19:30
沼津,1978/10/2 19:28
沼津,1978/10/2 19:30
富士,1978/10/2 19:28
富士,1978/10/2 19:30
静岡,1978/10/2 19:28
静岡,1978/10/2 19:30
浜松,1978/10/2 19:28
浜松,1978/10/2 19:30
豊橋,1978/10/2 19:28
豊橋,1978/10/2 19:30
名古屋,1978/10/2 21:49
名古屋,1978/10/2 21:54
岐阜,1978/10/2 22:17
岐阜,1978/10/2 22:18
大垣,1978/10/2 22:17
大垣,1978/10/2 22:18
米原,1978/10/2 22:17
米原,1978/10/2 22:18
京都,1978/10/2 23:51
京都,1978/10/2 23:52
新大阪,1978/10/2 23:51
新大阪,1978/10/2 23:52
大阪,1978/10/3 0:25
大阪,1978/10/3 --:--
三ノ宮,1978/10/3 0:25
神戸,1978/10/3 0:25
姫路,1978/10/3 0:25
姫路,1978/10/3 0:25
岡山,1978/10/3 0:25
岡山,1978/10/3 0:25
宇野,1978/10/3 0:25
倉敷,1978/10/3 0:25
倉敷,1978/10/3 0:25
福山,1978/10/3 4:27
福山,1978/10/3 4:27
尾道,1978/10/3 4:27
糸崎,1978/10/3 4:27
三原,1978/10/3 4:27
三原,1978/10/3 4:27
広島,1978/10/3 5:57
広島,1978/10/3 6:01
宮島口,1978/10/3 6:01
岩国,1978/10/3 5:57
岩国,1978/10/3 6:01
柳井,1978/10/3 7:02
光,1978/10/3 7:55
下松,1978/10/3 7:55
徳山,1978/10/3 7:55
徳山,1978/10/3 7:55
防府,1978/10/3 7:55
小郡,1978/10/3 7:55
小郡,1978/10/3 7:55
宇部,1978/10/3 8:30
宇部,1978/10/3 8:31
小野田,1978/10/3 9:09
厚狭,1978/10/3 9:09
厚狭,1978/10/3 9:09
下関,1978/10/3 9:09
下関,1978/10/3 9:13
門司,1978/10/3 9:21
門司,1978/10/3 9:26


紀勢本線
四日市,1978/10/2 22:17
四日市,1978/10/2 22:18
亀山,1978/10/2 22:17
亀山,1978/10/2 22:18
津,1978/10/2 22:17
津,1978/10/2 22:18
松坂,1978/10/2 22:17
多気,1978/10/2 22:18
多気,1978/10/2 22:17
紀伊長島,1978/10/2 22:18
尾鷲,1978/10/2 22:17
尾鷲,1978/10/2 22:18
熊野市,1978/10/2 22:17
熊野市,1978/10/2 22:18
新宮,1978/10/2 22:17
新宮,1978/10/2 22:18
紀伊勝浦,1978/10/2 22:17
紀伊勝浦,1978/10/2 22:18
串本,1978/10/2 22:17
串本,1978/10/2 22:18
白浜,1978/10/2 22:17
白浜,1978/10/2 22:18
紀伊田辺,1978/10/2 22:17
紀伊田辺,1978/10/2 22:18
御坊,1978/10/2 22:17
御坊,1978/10/2 22:18
和歌山,1978/10/2 22:17
和歌山,1978/10/2 22:18
天王寺,1978/10/2 22:17


山陰本線
京都,1978/10/3 7:55
園部,1978/10/3 7:55
園部,1978/10/3 7:55
綾部,1978/10/3 7:55
綾部,1978/10/3 7:55
宝塚,1978/10/3 7:55
三田,1978/10/3 7:55
篠山口,1978/10/3 7:55
篠山口,1978/10/3 7:55
福知山,1978/10/3 7:55
福知山,1978/10/3 7:55
豊岡,1978/10/3 7:55
豊岡,1978/10/3 7:55
城崎,1978/10/3 7:55
城崎,1978/10/3 7:55
香住,1978/10/3 7:55
浜坂,1978/10/3 7:55
浜坂,1978/10/3 7:55
鳥取,1978/10/3 7:55
鳥取,1978/10/3 7:55
倉吉,1978/10/3 7:55
倉吉,1978/10/3 7:55
米子,1978/10/3 7:55
米子,1978/10/3 7:55
安来,1978/10/3 7:55
松江,1978/10/3 7:55
松江,1978/10/3 7:55
玉造温泉,1978/10/3 7:55
宍道,1978/10/3 7:55
出雲市,1978/10/3 7:55
出雲市,1978/10/3 7:55
大社,1978/10/3 7:55
大田市,1978/10/3 7:55
江津,1978/10/3 7:55
江津,1978/10/3 7:55
浜田,1978/10/3 7:55
浜田,1978/10/3 7:55
益田,1978/10/3 7:55
益田,1978/10/3 7:55
長門市,1978/10/3 7:55
長門市,1978/10/3 7:55
下関,1978/10/3 7:55
下関,1978/10/3 7:55
門司,1978/10/3 7:55
門司,1978/10/3 7:55
小倉,1978/10/3 7:55
小倉,1978/10/3 7:55
博多,1978/10/3 7:55


鹿児島本線
門司港,1978/10/3 8:06
門司,1978/10/3 8:06
門司,1978/10/3 8:11
小倉,1978/10/3 8:11
小倉,1978/10/3 8:11
折尾,1978/10/3 8:11
折尾,1978/10/3 8:11
黒崎,1978/10/3 8:11
博多,1978/10/3 9:10
博多,1978/10/3 9:12
鳥栖,1978/10/3 9:37
鳥栖,1978/10/3 9:39
久留米,1978/10/3 9:47
久留米,1978/10/3 9:48
大牟田,1978/10/3 10:16
大牟田,1978/10/3 10:17
熊本,1978/10/3 10:58
熊本,1978/10/3 11:03
八代,1978/10/3 11:33
八代,1978/10/3 11:34
水俣,1978/10/3 12:26
水俣,1978/10/3 12:28
出水,1978/10/3 12:45
出水,1978/10/3 12:52
阿久根,1978/10/3 13:16
川内,1978/10/3 13:53
川内,1978/10/3 13:56
串木野,1978/10/3 13:56
伊集院,1978/10/3 13:56
西鹿児島,1978/10/3 14:42


長崎本線
鳥栖,1978/10/3 9:29
鳥栖,1978/10/3 9:31
佐賀,1978/10/3 9:53
佐賀,1978/10/3 9:54
肥前山口,1978/10/3 10:08
肥前山口,1978/10/3 10:12
武雄温泉,1978/10/3 10:12
武雄温泉,1978/10/3 10:12
早岐,1978/10/3 11:07
早岐,1978/10/3 11:20
佐世保,1978/10/3 11:31
諫早,1978/10/3 11:17
諫早,1978/10/3 11:18
長崎,1978/10/3 11:40


日豊本線
門司港,1978/10/3 9:33
門司,1978/10/3 9:33
門司,1978/10/3 9:33
小倉,1978/10/3 9:33
小倉,1978/10/3 9:35
中津,1978/10/3 10:22
宇佐,1978/10/3 10:22
別府,1978/10/3 11:27
別府,1978/10/3 11:28
大分,1978/10/3 11:42
大分,1978/10/3 11:50
臼杵,1978/10/3 11:50
津久見,1978/10/3 11:50
佐伯,1978/10/3 13:00
佐伯,1978/10/3 13:02
延岡,1978/10/3 14:16
延岡,1978/10/3 14:19
日向市,1978/10/3 14:40
高鍋,1978/10/3 15:41
宮崎,1978/10/3 15:41
宮崎,1978/10/3 15:45
都城,1978/10/3 16:36
都城,1978/10/3 16:37
霧島神宮,1978/10/3 17:10
隼人,1978/10/3 17:26
隼人,1978/10/3 17:27
鹿児島,1978/10/3 17:56
鹿児島,1978/10/3 17:58
西鹿児島,1978/10/3 18:03
