駅名,時刻
西鹿児島,1978/10/2 10:15
鹿児島,1978/10/2 10:19
鹿児島,1978/10/2 10:21
隼人,1978/10/2 10:50
隼人,1978/10/2 10:51
霧島神宮,1978/10/2 11:09
都城,1978/10/2 11:41
都城,1978/10/2 11:43
宮崎,1978/10/2 12:34
宮崎,1978/10/2 12:37
日向市,1978/10/2 13:41
延岡,1978/10/2 14:01
延岡,1978/10/2 14:03
佐伯,1978/10/2 15:07
佐伯,1978/10/2 15:08
大分,1978/10/2 16:14
大分,1978/10/2 16:27
別府,1978/10/2 16:39
別府,1978/10/2 16:40
中津,1978/10/2 17:48
小倉,1978/10/2 18:35
小倉,1978/10/2 18:36
門司,1978/10/2 18:43
門司,1978/10/2 18:48
下関,1978/10/2 18:56
下関,1978/10/2 19:00
宇部,1978/10/2 19:37
宇部,1978/10/2 19:37
防府,1978/10/2 20:13
柳井,1978/10/2 21:05
広島,1978/10/2 22:06
広島,1978/10/2 22:11
福山,1978/10/2 23:42
福山,1978/10/2 23:42
岡山,1978/10/3 0:25
岡山,1978/10/3 0:29    -------ここから
京都,1978/10/3 4:12
京都,1978/10/3 4:15
岐阜,1978/10/3 5:42
岐阜,1978/10/3 5:43
名古屋,1978/10/3 6:07
名古屋,1978/10/3 6:12
静岡,1978/10/3 8:33
静岡,1978/10/3 8:35
横浜,1978/10/3 10:40
東京,1978/10/3 11:05
