X,Y,Z,fid,N02_001,N02_002,N02_003,N02_004,種別,延長,夜行ルート,はやぶさ,さくら,富士,MidnightExp,vertex_index,vertex_part,vertex_part_index,distance,angle
139.76716,35.68228,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"0","0","0",0.00000000000000,199.86056761395611
139.76621,35.67965,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"1","0","1",0.00279631900898,200.15736179382645
139.76552,35.6778,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"2","0","2",0.00477080628420,201.62533872107767
139.76523,35.67711,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"3","0","3",0.00551927138024,204.44597281251319
139.76499,35.67662,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"4","0","4",0.00606489029487,211.98520390398960
139.76471,35.67626,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"5","0","5",0.00652096046491,220.41478758130097
139.76444,35.67597,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"6","0","6",0.00691719272003,227.07160373746140
139.76398,35.6756,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"7","0","7",0.00750753160576,231.65681615633659
139.76254,35.67448,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"8","0","8",0.00933181228592,231.87876548234385
139.76206,35.6741,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"9","0","9",0.00994402140053,231.03642332350191
139.7616,35.67372,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"10","0","10",0.01054067875614,230.57546258427760
139.76116,35.67336,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"11","0","11",0.01110918557228,229.66603892026595
139.76074,35.67299,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"12","0","12",0.01166891765104,223.64064647905909
139.76054,35.67274,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"13","0","13",0.01198907386292,216.17493788917949
