X,Y,Z,fid,N02_001,N02_002,N02_003,N02_004,種別,延長,夜行ルート,はやぶさ,さくら,富士,MidnightExp,vertex_index,vertex_part,vertex_part_index,distance,angle
130.92671,33.98053,0,33,"11","2",東海道・山陽線（東京?小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,0,0,0,0.00000000000000,35.53767779153426
130.92696,33.98088,0,33,"11","2",東海道・山陽線（東京?小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,1,0,1,0.00043011626335,35.19284691026676
130.92845,33.98302,0,33,"11","2",東海道・山陽線（東京?小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,2,0,2,0.00303773970242,36.14134748043913
130.92956,33.98447,0,33,"11","2",東海道・山陽線（東京?小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,3,0,3,0.00486382841878,37.60518161826509
130.92987,33.98487,0,33,"11","2",東海道・山陽線（東京?小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,4,0,4,0.00536989165592,33.36333975593196
130.93039,33.98581,0,33,"11","2",東海道・山陽線（東京?小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,5,0,5,0.00644413557608,27.32586798343564
130.93129,33.98768,0,33,"11","2",東海道・山陽線（東京?小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,6,0,6,0.00851944278225,28.29905295994020
130.93281,33.99022,0,33,"11","2",東海道・山陽線（東京?小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,7,0,7,0.01147951034905,33.88363140338918
130.93329,33.99086,0,33,"11","2",東海道・山陽線（東京?小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,8,0,8,0.01227951034905,39.41076135300969
130.93409,33.99175,0,33,"11","2",東海道・山陽線（東京?小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,9,0,9,0.01347621415535,34.56636807278776
130.93447,33.99249,0,33,"11","2",東海道・山陽線（東京?小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,10,0,10,0.01430807952907,13.59055554305629
130.93447,33.99251,0,33,"11","2",東海道・山陽線（東京?小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,11,0,11,0.01432807952908,7.59291863128638
