X,Y,Z,fid,N02_001,N02_002,N02_003,N02_004,種別,延長,夜行ルート,はやぶさ,さくら,富士,MidnightExp,vertex_index,vertex_part,vertex_part_index,distance,angle
130.15136,33.21982,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"0","0","0",0.00000000000000,93.86546116974074
130.15284,33.21972,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"1","0","1",0.00148337453125,93.96178248626111
130.1558,33.21951,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"2","0","2",0.00445081450537,94.34678361485832
130.1595,33.21921,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"3","0","3",0.00816295674403,94.09482083129753
130.160800797827,33.2191292051039,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"4","0","4",0.00946626131376,93.55417823554676
130.16272,33.21901,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"5","0","5",0.01138916194519,90.50724889254911
130.1652,33.21912,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"6","0","6",0.01387160026265,85.47025889881516
130.1659,33.2192,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"7","0","7",0.01457615686079,82.94277743961308
130.1668,33.21932,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"8","0","8",0.01548412161782,80.07029145169626
130.16749,33.21947,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"9","0","9",0.01619023775557,74.94751098251405
130.16836,33.21975,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"10","0","10",0.01710418523767,70.85512404061532
130.16895,33.21997,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"11","0","11",0.01773386769732,67.24641848545814
130.16972,33.22033,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"12","0","12",0.01858386769733,63.16596245816236
130.17148,33.22129,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"13","0","13",0.02058866195111,61.36067597099374
130.17287,33.22205,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"14","0","14",0.02217286522088,61.33917930959360
130.17567,33.22358,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"15","0","15",0.02536361748328,61.43112479992962
130.18013,33.226,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"16","0","16",0.03043786619614,61.52667418738054
130.18203,33.22703,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"17","0","17",0.03259909269978,58.78929298352164
130.18252,33.22736,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"18","0","18",0.03318985491930,52.66504675467988
130.18295,33.22773,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"19","0","19",0.03375712910344,47.82654042961680
130.18338,33.22814,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"20","0","20",0.03435126713454,42.82666719688716
130.18374,33.22858,0,"1","11","2",東海道・山陽線（東京～小倉）,西日本旅客鉄道,本線,32687,true,true,true,true,true,"21","0","21",0.03491977395068,36.78814192047221
