,X,Y,Z,列車名,種別,vertex_index,distance,angle,geometry,time
0,139.76716,35.68228,0,はやぶさ,本線,0,0.0,199.8605676,POINT Z (139.76716 35.68228 0),60300.0
1,139.76621,35.67965,0,はやぶさ,本線,1,0.002796319,200.1573618,POINT Z (139.76621 35.67965 0),60315.725268233815
2,139.76552,35.6778,0,はやぶさ,本線,2,0.004770806,201.6253387,POINT Z (139.76552 35.6778 0),60326.828914741665
3,139.76523,35.67711,0,はやぶさ,本線,3,0.005519271,204.4459728,POINT Z (139.76523 35.67711 0),60331.037952726474
4,139.76499,35.67662,0,はやぶさ,本線,4,0.00606489,211.9852039,POINT Z (139.76499 35.67662 0),60334.106274019025
5,139.76471,35.67626,0,はやぶさ,本線,5,0.00652096,220.4147876,POINT Z (139.76471 35.67626 0),60336.67101111926
6,139.76444,35.67597,0,はやぶさ,本線,6,0.006917193,227.0716037,POINT Z (139.76444 35.67597 0),60338.899251247836
7,139.76398,35.6756,0,はやぶさ,本線,7,0.007507532,231.6568162,POINT Z (139.76398 35.6756 0),60342.219058152514
8,139.76254,35.67448,0,はやぶさ,本線,8,0.009331812,231.8787655,POINT Z (139.76254 35.67448 0),60352.47800655346
9,139.76206,35.6741,0,はやぶさ,本線,9,0.009944021,231.0364233,POINT Z (139.76206 35.6741 0),60355.9208007197
10,139.7616,35.67372,0,はやぶさ,本線,10,0.010540679,230.5754626,POINT Z (139.7616 35.67372 0),60359.27614290128
11,139.76116,35.67336,0,はやぶさ,本線,11,0.011109186,229.6660389,POINT Z (139.76116 35.67336 0),60362.473176239684
12,139.76074,35.67299,0,はやぶさ,本線,12,0.011668918,223.6406465,POINT Z (139.76074 35.67299 0),60365.620862837335
13,139.76054,35.67274,0,はやぶさ,本線,13,0.011989074,216.1749379,POINT Z (139.76054 35.67274 0),60367.4212793766
14,139.76034,35.67244,0,はやぶさ,本線,14,0.012349629,210.8261499,POINT Z (139.76034 35.67244 0),60369.44888212437
15,139.75991,35.67163,0,はやぶさ,本線,15,0.01326669,208.386513,POINT Z (139.75991 35.67163 0),60374.60602986459
